,region,month,sales,delta_sales,rel_delta_sales,prevSales
0,region_0,2020-01,0.0,0.0,0.0,0.0
1,region_0,2020-02,0.0,0.0,0.0,0.0
2,region_0,2020-03,0.0,0.0,0.0,0.0
3,region_0,2020-04,0.0,0.0,0.0,0.0
4,region_0,2020-05,0.0,0.0,0.0,0.0
5,region_0,2020-06,0.0,0.0,0.0,0.0
6,region_0,2020-07,0.0,0.0,0.0,0.0
7,region_0,2020-08,253.22,253.22,100.0,0.0
8,region_0,2020-09,56.27,-196.95,-0.7777821657057105,253.22
9,region_0,2020-10,480.06,423.79,7.531366625199928,56.27
10,region_0,2020-11,280.56,-199.5,-0.41557305336832895,480.06
11,region_0,2020-12,974.16,693.5999999999999,2.4721984602224123,280.56
12,region_0,2021-01,511.84,-462.32,-0.47458323068079167,974.16
13,region_0,2021-02,551.59,39.75000000000006,0.07766098780869024,511.84
14,region_0,2021-03,614.36,62.76999999999998,0.11379829220979354,551.59
15,region_0,2021-04,526.66,-87.70000000000005,-0.14275017904811516,614.36
16,region_0,2021-05,934.17,407.51,0.7737629590247979,526.66
17,region_0,2021-06,700.95,-233.2199999999999,-0.24965477375638256,934.17
18,region_0,2021-07,1257.01,556.06,0.7932948141807545,700.95
19,region_0,2021-08,678.76,-578.25,-0.46002020668093335,1257.01
20,region_1,2020-01,0.0,0.0,0.0,0.0
21,region_1,2020-02,0.0,0.0,0.0,0.0
22,region_1,2020-03,0.0,0.0,0.0,0.0
23,region_1,2020-04,0.0,0.0,0.0,0.0
24,region_1,2020-05,0.0,0.0,0.0,0.0
25,region_1,2020-06,0.0,0.0,0.0,0.0
26,region_1,2020-07,143.74,143.74,100.0,0.0
27,region_1,2020-08,70.35,-73.39000000000001,-0.5105746486712119,143.74
28,region_1,2020-09,167.46,97.11000000000001,1.3803837953091689,70.35
29,region_1,2020-10,1068.11,900.6499999999999,5.378299295354114,167.46
30,region_1,2020-11,387.86,-680.2499999999999,-0.636872606753986,1068.11
31,region_1,2020-12,353.63,-34.23000000000002,-0.0882534935285928,387.86
32,region_1,2021-01,681.06,327.42999999999995,0.9259112631846844,353.63
33,region_1,2021-02,193.93,-487.12999999999994,-0.7152526943294276,681.06
34,region_1,2021-03,370.76,176.82999999999998,0.9118238539679264,193.93
35,region_1,2021-04,842.73,471.97,1.2729798252238647,370.76
36,region_1,2021-05,538.5,-304.23,-0.36100530418995413,842.73
37,region_1,2021-06,426.71,-111.79000000000002,-0.20759517177344478,538.5
38,region_1,2021-07,739.2,312.49000000000007,0.7323240608375714,426.71
39,region_1,2021-08,436.74,-302.46000000000004,-0.409172077922078,739.2
40,region_2,2020-01,0.0,0.0,0.0,0.0
41,region_2,2020-02,0.0,0.0,0.0,0.0
42,region_2,2020-03,0.0,0.0,0.0,0.0
43,region_2,2020-04,0.0,0.0,0.0,0.0
44,region_2,2020-05,0.0,0.0,0.0,0.0
45,region_2,2020-06,0.0,0.0,0.0,0.0
46,region_2,2020-07,35.17,35.17,100.0,0.0
47,region_2,2020-08,9.49,-25.68,-0.7301677566107478,35.17
48,region_2,2020-09,92.81,83.32000000000001,8.779768177028451,9.49
49,region_2,2020-10,35.17,-57.64,-0.6210537657580002,92.81
50,region_2,2020-11,166.25,131.07999999999998,3.7270400909866357,35.17
51,region_2,2020-12,193.93,27.680000000000007,0.1664962406015038,166.25
52,region_2,2021-01,222.49,28.560000000000002,0.14726963337286647,193.93
