,region,month,sales,delta_sales,rel_delta_sales,prevSales
0,region_0,2020-01,0.0,0.0,0.0,0.0
1,region_0,2020-02,0.0,0.0,0.0,0.0
2,region_0,2020-03,0.0,0.0,0.0,0.0
3,region_0,2020-04,0.0,0.0,0.0,0.0
4,region_0,2020-05,0.0,0.0,0.0,0.0
5,region_0,2020-06,0.0,0.0,0.0,0.0
6,region_0,2020-07,0.0,0.0,0.0,0.0
7,region_0,2020-08,612.44,612.44,100.0,0.0
8,region_0,2020-09,1653.59,1041.1499999999999,1.70000326562602,612.44
9,region_0,2020-10,1898.56,244.97000000000003,0.14814434049552783,1653.59
10,region_0,2020-11,2939.71,1041.15,0.5483893055789653,1898.56
11,region_0,2020-12,4440.19,1500.4799999999996,0.5104176942623591,2939.71
12,region_0,2021-01,3888.99,-551.1999999999998,-0.12413883189683317,4440.19
13,region_0,2021-02,2664.11,-1224.8799999999997,-0.31496095387234213,3888.99
14,region_0,2021-03,5603.83,2939.72,1.1034529355019123,2664.11
15,region_0,2021-04,2572.25,-3031.58,-0.54098357730338,5603.83
16,region_0,2021-05,4807.65,2235.3999999999996,0.8690446107493439,2572.25
17,region_0,2021-06,3674.64,-1133.0099999999998,-0.23566815387975415,4807.65
18,region_0,2021-07,4225.84,551.2000000000003,0.1500010885420069,3674.64
19,region_0,2021-08,2927.8,-1298.04,-0.30716733241201744,4225.84
20,region_1,2020-01,0.0,0.0,0.0,0.0
21,region_1,2020-02,0.0,0.0,0.0,0.0
22,region_1,2020-03,0.0,0.0,0.0,0.0
23,region_1,2020-04,0.0,0.0,0.0,0.0
24,region_1,2020-05,0.0,0.0,0.0,0.0
25,region_1,2020-06,0.0,0.0,0.0,0.0
26,region_1,2020-07,0.0,0.0,0.0,0.0
27,region_1,2020-08,0.0,0.0,0.0,0.0
28,region_1,2020-09,765.55,765.55,100.0,0.0
29,region_1,2020-10,1286.12,520.5699999999999,0.6799947749983672,765.55
30,region_1,2020-11,1653.59,367.47,0.28571983951730795,1286.12
31,region_1,2020-12,1408.61,-244.98000000000002,-0.14815038794380708,1653.59
32,region_1,2021-01,2021.05,612.44,0.4347832260171376,1408.61
33,region_1,2021-02,1500.48,-520.5699999999999,-0.25757403329952255,2021.05
34,region_1,2021-03,1837.32,336.8399999999999,0.22448816378758796,1500.48
35,region_1,2021-04,1377.99,-459.3299999999999,-0.25,1837.32
36,region_1,2021-05,2021.05,643.06,0.4666652152773241,1377.99
37,region_1,2021-06,2572.25,551.2,0.2727295217832315,2021.05
38,region_1,2021-07,2204.78,-367.4699999999998,-0.14285936436971514,2572.25
39,region_1,2021-08,3009.96,805.1799999999998,0.3651974346646829,2204.78
40,region_2,2020-01,0.0,0.0,0.0,0.0
41,region_2,2020-02,0.0,0.0,0.0,0.0
42,region_2,2020-03,0.0,0.0,0.0,0.0
43,region_2,2020-04,0.0,0.0,0.0,0.0
44,region_2,2020-05,0.0,0.0,0.0,0.0
45,region_2,2020-06,0.0,0.0,0.0,0.0
46,region_2,2020-07,0.0,0.0,0.0,0.0
47,region_2,2020-08,0.0,0.0,0.0,0.0
48,region_2,2020-09,0.0,0.0,0.0,0.0
49,region_2,2020-10,91.87,91.87,100.0,0.0
50,region_2,2020-11,367.46,275.59,2.9997823010776092,91.87
51,region_2,2020-12,183.73,-183.73,-0.5,367.46
52,region_2,2021-01,704.31,520.5799999999999,2.8333968323082783,183.73
53,region_2,2021-02,826.79,122.48000000000002,0.17390069713620426,704.31
